Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-44-3919,12.0325,20112.1951,5.8537,1.3008,318.374,58.8618,722.2764,4.878,3.252,32.1951,91.7073,1158.0488,518.6992,385.0407,283.5772,567.3333,23.4146,2533.9837,1549.3236,261.7886,1
TCGA-44-4112,0.8032,57.4297,0,1.2048,11.245,7.2289,105.6225,0.4016,8.0321,27.7108,1301.6064,1461.4458,1626.1044,577.51,340.5622,2816.2651,460.241,35.743,558.7711,348.1928,1
TCGA-44-5644,1.995,14.6301,1.33,3.99,10.6401,0.665,93.1006,0,35.2452,9.9751,1.995,2529.0108,99.7506,98.4206,44.5553,221.586,1177.0574,18812.9676,7.1089,289.2768,1
TCGA-44-5645,1.7212,12751.5777,0,14.9168,152.6104,44.7504,204.2456,13.7694,3.4423,20.0803,3.4423,164.0849,1.1474,0.5737,61.3884,2444.7906,3.4423,196.2134,136.2536,2.2949,1
TCGA-44-6145,4.422,6625.3948,4.422,1.2634,500.3159,25.2685,897.6627,8.844,21.4782,38.5344,120.0253,2765.6349,2732.1541,82.7543,372.0783,63.5123,2.5268,2195.199,311.8256,22.7416,1
TCGA-44-6147,5.4645,8824.5902,0.5464,1.0929,538.7978,56.8306,477.5956,10.3825,4.3716,89.6175,104.3716,789.6175,402.1858,317.4863,37.7049,1119.2404,47.541,80.3279,39.0984,114.2077,1
TCGA-44-6148,11.7852,223383.9561,16.0707,0,5299.5848,286.5943,1819.2045,32.1414,56.2475,74.9967,42.8552,38.034,60.533,7.4997,48.7478,35.4841,0.5357,866.2113,821.9204,2.1428,1
TCGA-44-6775,0,863.7052,0,1.0096,20.1918,5.5528,42.9076,0,19.687,27.7638,1557.7991,696.6179,15749.1166,3.5336,898.0313,1058.4048,112.5694,134.2756,728.5714,2125.6941,1
TCGA-44-6776,4.3103,28408.046,8.6207,2.8736,4621.408,222.7011,2320.4023,68.2471,1.4368,44.5402,10.7759,479.8851,1.4368,119.2529,165.9483,1443.6422,0.7184,15584.7701,8.398,10.0575,1
TCGA-44-6778,826.1421,73564.7208,189.0863,70.4315,3857.868,313.4518,7587.5635,35.533,76.1421,224.6193,6.3452,39.3401,8.8832,1.269,23.4772,22.9188,1304.5685,9.5178,4.7462,1.9036,1
TCGA-44-7659,5.2317,11019.432,0,0.7474,245.142,73.991,384.1555,2.2422,1.4948,18.6846,97.9073,864.7235,97.1599,35.1271,29.148,1469.559,0,7852.7653,3.864,1541.8535,1
TCGA-44-7660,0.4206,20.1872,2.1028,7.5702,8.4113,2.944,125.7491,0.4206,18.9255,0.8411,21.0283,692.2511,1399.222,5.4674,1561.5603,11.3889,1576.2801,5.4674,4102.3741,13.8787,1
TCGA-44-7661,17.1768,20295.128,31.2305,17.4891,1809.8064,97.1268,2742.3485,8.4322,41.2242,290.7558,28.1074,9705.4966,633.3542,17.4891,341.3492,1158.8445,1.5615,22.7983,108.3729,72.1424,1
