"","TCGA-44-2655","TCGA-44-2657","TCGA-44-2665","TCGA-44-2668","TCGA-44-3396","TCGA-44-3398","TCGA-44-6144","TCGA-44-6776","TCGA-44-6778","TCGA-44-7659","TCGA-44-7660","TCGA-44-7661","TCGA-44-7662","TCGA-44-7667","TCGA-44-7670","TCGA-44-7671","TCGA-44-7672","TCGA-49-6742","TCGA-49-6743","TCGA-49-6744","TCGA-49-6745","TCGA-50-7109","TCGA-55-7283","TCGA-55-7570","TCGA-55-7574","TCGA-55-7576","TCGA-55-7724","TCGA-55-7725","TCGA-55-7726","TCGA-55-7903","TCGA-55-7910","TCGA-55-7911","TCGA-55-7914","TCGA-78-7163","TCGA-78-7540","TCGA-86-7711","TCGA-86-7713","TCGA-91-6835","TCGA-91-6836","TCGA-93-7348"
"hsa-mir-6512",0,0,0,0,0,0,0,0,0,0,0,0,0.164125,0,0,0,0,0,0,0,0,0,0,0,0,0.191309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6513",1.839317,0,0,0,0,0,0.782379,0,0.213641,0.502455,0,0.125311,0.328249,0,0,0.192354,0.835273,0,0.131536,0,0.099859,0,0.314493,0,0.629797,0.382618,0.187261,0,0,0,0,0.967693,0,0.443208,0.402416,0,0.175746,0,0,0.106516
"hsa-mir-6514",0,0,1.314969,6.180852,9.958886,0.68466,0.469428,0.598831,0.320461,0.502455,0.409816,0.125311,0.984747,0,0.350625,0,0,0.273162,0,0.18811,0.998587,0.903824,0.943479,0.423433,0.314899,0.573927,0.561783,0.203193,0,0.225494,0.694328,0,0.185854,0.443208,0,0.166514,0.702982,0,0.406438,0.213032
"hsa-mir-6515",0,0,0,6.180852,0,0,0,0,0.10682,0.167485,0.409816,0,0,0,0,0.192354,0,0.136581,0,0,0,0.225956,0,0,0,0,0,0,0,0.225494,0,0,0,0,0,0.166514,0.175746,0.395088,0,0
"hsa-mir-6516",0,3.89401,0,0,0,0,0.938855,0,0.320461,0,0,0,0.328249,0.151999,0,0.577063,0.626455,0.409744,0,0,0.099859,0.677868,0.47174,0,0.629797,0.765236,0,0,0,1.352961,0.462886,0,0.371709,0.221604,0.402416,0,0,0.197544,0.812876,0
"hsa-mir-652",136.109476,242.726638,172.260985,269.897192,177.600141,95.852333,82.775719,26.797675,61.635369,50.580478,41.186491,18.420776,47.596117,56.087611,45.406,32.892579,24.849369,37.286667,33.673183,25.583015,36.248708,49.258423,50.476127,65.843907,56.051958,55.670947,37.452188,40.435418,12.954902,37.882922,49.991645,59.996942,50.552406,51.855381,31.656759,51.119764,37.961042,16.19859,41.863137,23.433557
"hsa-mir-653",0,0,0,0,0,0,8.449695,8.084215,3.631893,4.187126,5.327606,6.390881,6.893231,10.791925,7.187822,13.272444,6.264547,11.336239,7.102937,5.455202,6.390957,4.519121,13.05146,8.256953,10.076757,7.461055,4.868784,6.908564,2.004925,5.411846,4.628856,5.806156,5.01807,7.312938,5.231414,6.827069,6.151095,5.333682,2.845068,6.071422
"hsa-mir-654",12.875221,9.086024,9.204785,24.723407,24.897216,43.818209,18.777101,11.527491,13.35255,8.039281,17.622081,21.052315,7.877978,8.967938,12.447205,7.501816,31.113916,25.813846,15.652768,11.474735,9.586435,7.45655,8.019572,13.549872,11.021452,13.582946,8.05222,6.705371,10.487302,8.79425,1.851542,2.903078,16.726899,10.858605,5.231414,9.491292,5.448113,47.410507,13.8189,4.260647
"hsa-mir-655",0,0,0,0,0,0,0.625903,1.197661,0.320461,0.167485,1.229447,0.87718,0.164125,1.367991,1.051876,0.192354,0.417636,1.229231,0.394608,0.376221,0.099859,0.677868,0.314493,0.211717,0.472348,1.530473,0.374522,0,0.30845,0.676481,0.231443,0,0.557563,0.886417,0.402416,0.666056,0.702982,1.975438,0.609657,0.319549
"hsa-mir-656",0,0,0,2.060284,0,0,0,0.149708,0.427282,0,0.614724,0,0.164125,0.455997,0,0.577063,0.208818,0.273162,0,0,0.099859,0,0,0.211717,0.157449,0.191309,0,0.203193,0.154225,0.225494,0.231443,0,0.371709,0,0.134139,0.333028,0,0.790175,0.406438,0.213032
